# Constructed from biom file
OTUID	amostra1	amostra2	amostra3	amostra4
1144416b8ead41bf5c15143a9f91ee62	0.0	128.0	0.0	77.0
b8e067d19b04d266dd6558cbfa9aeee5	204.0	0.0	0.0	0.0
0ccc7a53149ebb857d4592962adb77af	57.0	0.0	146.0	0.0
36ecd054f5309a9658926a0926d7ee82	0.0	83.0	0.0	119.0
316ae54c3b5bd9979e0f6bcf94f640f5	0.0	202.0	0.0	0.0
aabef309a14a6056ae2140a9460588df	201.0	0.0	0.0	0.0
160bf485f33b8139bcf5cd8c40f40747	105.0	0.0	96.0	0.0
c361eed1507369af8c009d4ff8cd52bb	0.0	76.0	0.0	122.0
bf07676d7440410add2d25ec11d05f35	0.0	139.0	0.0	58.0
4501ab7b50a98c94186f24f4de90bf0e	0.0	0.0	197.0	0.0
aaa39ccd61ec84d756b29d7a651401a8	0.0	145.0	0.0	50.0
42f8ccaf8c5cbd4c84e70f86525fb4ce	120.0	0.0	74.0	0.0
2eeedead0f29786a7ec9cf13de5f5144	0.0	0.0	192.0	0.0
da5426d9a8a2e0ea5bf74c2dc5dd5792	112.0	0.0	79.0	0.0
8754d256981c9268165db82b778aa3ca	27.0	0.0	161.0	0.0
d04c3397b4f7e6cbcaf5d34e06410c3e	87.0	0.0	101.0	0.0
75a7db0ff8cf386cdae0b1d1fd23511c	104.0	0.0	83.0	0.0
42947ca2922be7e1120f7074f80b025a	67.0	0.0	120.0	0.0
715256146d047cc666ba46b712e5d558	71.0	0.0	116.0	0.0
300a0d21225632f45a776bd54d3d0f2c	0.0	187.0	0.0	0.0
1d052c252f91d19e168cf505a9253ad8	80.0	0.0	106.0	0.0
b4f4ae8b41713b4d4a0d4a1433a9b746	98.0	0.0	87.0	0.0
b6483ec53e5bb8b78feca8877668ce73	0.0	71.0	0.0	114.0
2b77359306bbc33b0cb6452265701700	0.0	0.0	0.0	185.0
a2a9cf6933d503f752371bedaff9b9b6	116.0	0.0	68.0	0.0
08703469b900da8f4137af275a0181df	103.0	0.0	81.0	0.0
38cdce054aedc46fe93d4b0781511696	0.0	54.0	0.0	130.0
bc17cff6f3f4f920f098e799751103e0	145.0	0.0	37.0	0.0
1528982e2d32c9c2a3bf4bfca7169e6d	0.0	89.0	0.0	93.0
f66ccbeb60d8131fd8fd07c8b36b6606	0.0	0.0	182.0	0.0
1b03d86a9059ed4cc9dd84b659d785dc	0.0	0.0	0.0	181.0
c6ad9637214d6c055cc1b8b43484f92d	80.0	0.0	100.0	0.0
1d15126d05d7e1d5c83eab0d7552dc65	81.0	0.0	99.0	0.0
3f12a0e59a953a1871265f6f4fa579f9	0.0	52.0	0.0	128.0
16df9227b124f9452569f7ce2b39c4de	27.0	0.0	151.0	0.0
19e08d7e20169c46f78c2a08e5a8d73f	0.0	91.0	0.0	87.0
16a0aa5e971bd1ad0f5ce25df109f16e	177.0	0.0	0.0	0.0
eeb2ac8ff212e60a87a8a666260aaeec	106.0	0.0	70.0	0.0
d6c7ec86eb5d3c5b32b7ce9926b67288	91.0	0.0	84.0	0.0
3a382b3efa7e9fa2880fea626c700aeb	0.0	120.0	0.0	53.0
675c847bccbc53942ebb7b8cbb4efc4d	0.0	0.0	173.0	0.0
42506fb289674a7b2a2c984fbd572676	0.0	0.0	173.0	0.0
47d1cadfa3a855ec5774946d24016a78	84.0	0.0	88.0	0.0
f9ea802d2f76616d193c7110bdd32552	0.0	171.0	0.0	0.0
a6116255199d0cd81fb4d4ceb0dea8f9	0.0	171.0	0.0	0.0
128d827b34723d036b3cff7a209629ec	89.0	0.0	81.0	0.0
18c16d3af07de88b8f7c9a48075a00db	73.0	0.0	97.0	0.0
1631845d860997fd71ab4b5a91eed4c3	102.0	0.0	68.0	0.0
9de887af5c017011596e115c477a208f	169.0	0.0	0.0	0.0
eec4b47f605161c84df427f609e83e63	69.0	0.0	99.0	0.0
d9df3619ff8f99b2b8bebe2410ea0e7d	67.0	0.0	99.0	0.0
c67d9367b2e0e08eaa0a0ec8f730a1b0	0.0	123.0	0.0	43.0
815280df574bc6f39286abc4a87970ac	125.0	0.0	40.0	0.0
49c83a5159579d36f026b91b36dbb937	93.0	0.0	69.0	0.0
ac87c4775061ed3118a7fcd965c86a8c	0.0	108.0	0.0	54.0
76d111d88466b7b202a0511517ed2d61	96.0	0.0	65.0	0.0
a01206f0b17de33744bdac813c3c6eca	0.0	83.0	78.0	0.0
cfe60699d6891d37b0d350b7f005d5de	0.0	71.0	0.0	90.0
04805bd516e68609d69fd2c44804153e	81.0	0.0	79.0	0.0
f764bfe56f0468167ca594ec6e6dfe49	160.0	0.0	0.0	0.0
6e7c2d1a4f5a096fae9eb6231ec334a5	55.0	0.0	105.0	0.0
80c2fe5a088b52a72616b245844bf4cd	0.0	160.0	0.0	0.0
571e30428d86e0582ad06d9e73bc7897	71.0	0.0	88.0	0.0
3417922396342e199c0541b1de901481	87.0	0.0	72.0	0.0
5a5b0dd41740f21d24666717a3c796ba	39.0	0.0	120.0	0.0
1eea8fd5b3261c6a6210c2fe535e873d	0.0	113.0	0.0	46.0
42acc5628df2491c73113ea948fc1578	62.0	0.0	95.0	0.0
0b60cd9104b719955ae9374fb7834efc	0.0	0.0	0.0	157.0
5751028b2c6c30bbfffaa137657f0740	110.0	0.0	45.0	0.0
80a3a7e8d3b320f2152ed3de5866a9b8	80.0	0.0	75.0	0.0
0e22fda2b375810c38c09a430c8d7abd	68.0	0.0	87.0	0.0
9473fe9855c16c953608e8093cc6efcb	0.0	111.0	0.0	44.0
41cd6e4d6f5fe5267df048b333b3a2f0	0.0	0.0	155.0	0.0
0e690d907050e4d97bd29853e420dd5a	0.0	0.0	155.0	0.0
4e6423b312288707e643c8f9d12f8a6c	0.0	154.0	0.0	0.0
03e4cf927c2dab8745ce65982e60977b	33.0	0.0	120.0	0.0
17f00e372d51b8efbb900cd09b389d2e	76.0	0.0	77.0	0.0
dc87b8ee08fe5e211faf647434047156	68.0	0.0	84.0	0.0
cdc371d5358fd3658e163d920516d65a	0.0	152.0	0.0	0.0
29e0c229296f4b11cff5630fe6d56764	0.0	85.0	0.0	66.0
d4f721a776746facf7b93f78876e1f78	0.0	107.0	0.0	44.0
9a9efd4fb5fc244a3d3461b197af0e6a	150.0	0.0	0.0	0.0
f662afccff4067c3406662c27a42ddff	149.0	0.0	0.0	0.0
1858576e2a4c545efa25c1df2ee9d0df	148.0	0.0	0.0	0.0
dda23f390ae535d914d1e1912932d4f6	52.0	0.0	95.0	0.0
0be9a6e0604cf0cf4eeeed6cc96c5492	147.0	0.0	0.0	0.0
9bb8ac6fe2ea6e1ea47f6f2dcf312186	78.0	0.0	68.0	0.0
a1c72117bea8a9bcd3fcf22425f8ca18	59.0	0.0	86.0	0.0
08f700e203e1c9e16a59a6b489901ad4	0.0	144.0	0.0	0.0
523ac8ca39bc167af0f08a0af6fc06db	140.0	0.0	0.0	0.0
c57835f6c46c4630b0c9cd7c3b5478df	0.0	91.0	0.0	49.0
8156d705f45415c707dba1a25114b2fe	71.0	0.0	68.0	0.0
6c52a6f8d6a090399c3430fc4402f8b3	0.0	138.0	0.0	0.0
d92904649ebfee2a4cdce31ab377b878	66.0	0.0	71.0	0.0
abd676830b52aeea37ed9306431e125d	64.0	0.0	72.0	0.0
936bb08dcc7795d583b27f27ad688148	59.0	0.0	77.0	0.0
f2b9c82420244bb5bde1cfcafa2debda	0.0	89.0	0.0	47.0
89df80242c1e3e4e1e3f608e111b388d	0.0	89.0	0.0	46.0
